Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Woodrow Wilson House,https://woodrowwilsonhouse.org/wp-content/uploads/2020/11/Fairbanks-1916-600x400.jpg,Source: Woodrow Wilson House,,"The Woodrow Wilson House was constructed in 1915 in the Georgian Revival Style. President Wilson and his wife, Edith, moved in after his second term on March 4, 1921. Woodrow Wilson lived in this house until his death in 1924 and it stayed in Edith's possession until her death in 1961 when it was given to the National Trust of Historic Preservation. ",16,Numbered,blue,"Woodrow Wilson House, Washington DC",38.91391,-77.051678,,,,
2330 S Street,https://assets.urbanturf.com/dc/images/blog/2020/01/2325-S-bezos.jpg,Source: UrbanTurf,https://dc.urbanturf.com/articles/blog/jeff-bezos-announces-arrival-in-kalorama-with-star-studded-party/16380,"The Woodrow Wilson House was constructed in 1915 in the Georgian Revival Style. President Wilson and his wife, Edith, moved in after his second term on March 4, 1921. Woodrow Wilson lived in this house until his death in 1924 and it stayed in Edith's possession until her death in 1961 when it was given to the National Trust of Historic Preservation. ",14,2,blue,"2330 S Street NW, Washington DC",38.914006,-77.051282,,,,
,media/google-sheet-screenshot.png,Screenshot of linked Google Sheet.,,"Right-click on the tiny ""View data"" link at the bottom of the map to open the contents of the linked Google Sheet in a new tab. Each row is a chapter, which contains the text of the story, links to media, and data about each point on the map. The Google Sheet also includes an ""Options"" tab with global settings for the overall map appearance.",14,3,blue,"National Mall, Washington DC",38.88959795,-77.03527224,,,,
Washington Monument,media/washington-monument-nps.png,"Source: US National Park Service, public domain",https://www.nps.gov/nama/learn/photosmultimedia/photogallery.htm,"You can upload JPG or PNG images into the media subfolder of your GitHub repository and enter their file pathname into the linked Google Sheet. The template automatically resizes images to fit the scrolling narrative, but we recommend reducing images to 600 x 400 pixels or less before uploading to make sure your storymap scrolls smoothly. Note that media file pathnames are case-sensitive, and we recommend using all lowercase characters, including the suffix ending.<br><br>The Washington Monument, constructed in 1884, stands at the center of what people informally refer to as the Mall, halfway between the US Capitol and the Lincoln Memorial.",16,4,blue,"National Mall, Washington DC",38.88959795,-77.03527224,,,,
Lincoln Memorial,https://live.staticflickr.com/3747/9114059928_b5f4d56ce6_z.jpg,"Source: Anthony Citrano/Flickr, Creative Commons BY-NC-ND",https://flic.kr/p/eTnWuh,"Also, you can link directly to photos in external web servers, such as Flickr and Wikimedia. To add a Flickr photo, click its Share button, choose a small-to-medium size, copy its embed code, and paste only the portion with the web address that begins with ""https://live.staticflickr.com/...."" and ends in JPG or PNG. To add a Wikimedia image, select a small-to-medium size and copy its direct link, which ends in JPG or PNG. Always credit your image sources.<br><br>The Lincoln Memorial was constructed at the western edge of the Mall in 1922.",17,5,blue,"Lincoln Memorial, Washington DC",38.88928528,-77.05012236,,,,
,media/marker-columns-screenshot.png,Screenshot of Zoom and Marker columns in linked Google Sheet,,"You can display multi-part chapters for one location by creating a series of rows in the Google Sheet. List the Chapter and Location information only in the first row of the series, and leave those fields blank for the other rows. Insert text and image links in the other columns. <br><br>In the Marker column, you have four options:<br> - Numbered (auto-increment: 1, 2, 3, etc.)<br> - Hidden (not visible, to avoid stacking markers on top of one another with multiple chapters focused on one location)<br> - Plain (marker visible but no label inside)<br> - or customize by inserting any number, letter, or emoji (good when auto-increment does not display your desired output)",,6,blue,,,,,,,
"March on Washington at Lincoln Memorial, 1963",media/king-1963-npr.jpg,"Source: Agence France Presse/Getty Images, published by National Public Radio (2010)",https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,"The Lincoln Memorial has been the setting for many civil rights protests, such as Dr. Martin Luther King Jr.'s speech during the 1963 March on Washington.",17,7,blue,,,,,,,
"""I Have A Dream"" Speech by Dr. King, 1963",media/king-1963-npr.mp3,"Source: ""Talk of the Nation,"" National Public Radio (2010)",https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,"In addition to images, you can also upload or link to audio files, which must be in one of these formats: mp3 (recommended), ogg, or wav. The template will automatically recognize audio files and allow readers to play them.<br><br>Listen to this short audio excerpt from Dr. King's 1963 speech at the Lincoln Memorial.",17,Hidden,blue,,,,,,,
Vietnam Veterans Memorial,https://www.youtube.com/embed/Q-082gadmDw?controls=0&amp;start=17,"Source: ""The Healing Wall"" (2015), a film by Christopher Kosinski",https://youtu.be/Q-082gadmDw,"You can also embed a link from a streaming video service such as YouTube. Click on the YouTube video Share button, select Embed, and copy and paste only the web link, which will look similar to this:<br>https://www.youtube.com/embed/Q-082gadmDw<br><br>Optionally, you can add user controls and a start time to the link and make it look like this:<br>https://www.youtube.com/embed/Q-082gadmDw?controls=0&amp;start=17<br><br>The Vietnam Veterans Memorial, designed by architect Maya Lin, was located near the Lincoln Memorial in 1982. Watch a portion of this video to learn more.",17,4,blue,"Vietnam Veterans Memorial, Washington DC",38.89130998,-77.04772393,,,,
"L'Enfant's Plan for the City, 1791",,,,"In addition, you can display georeferenced historical maps on top of your storymap to contrast with present-day maps. See the Overlay column in the linked Google Sheet for this chapter, and learn more in Chapter 14: Transform Your Map Data of our book.<br><br>This <a href='https://mapwarper.net/maps/52882' target='_blank'>facsimile of Pierre (Peter) Charles L'Enfant's 1791 map</a>, downloaded from an <a href='https://lccn.loc.gov/88694201' target='_blank'>1887 publication at the Library of Congress</a>, illustrates his grand design for the permanent seat of government, which he presented to President George Washington in the early days of the new republic.",13,Hidden,blue,"US Capitol Building, Washington DC",38.89008919,-77.0090505,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,,
